yy1,myEd,sumNormW,sumLWall
15,2,0.04337565102858167,0.0
32,1,0.10218150766229799,0.0
95,1,0.17005475070680326,0.0
97,2,0.20384234362686324,0.0
114,2,0.24651075494511676,0.0
154,1,0.27521712980742674,0.0
158,2,0.308585052594298,0.0
175,2,0.3523984729625947,0.0
203,1,0.4192622558331309,0.0
207,1,0.45874745360161734,0.0
234,1,0.4994412969899809,0.0
253,2,0.5480434108169248,0.0
296,1,0.605590000022312,0.0
383,2,0.6698785739914503,0.0
397,1,0.7171745993149893,0.0
407,2,0.7697874379849872,0.0
446,2,0.8147887907576911,0.0
455,2,0.8625447829761321,0.0
456,2,0.894660537743135,0.0
461,2,0.9451481473212031,0.0
504,1,0.9729259580660276,0.0
515,2,1.0109205267706691,0.0
575,2,1.0716132042721902,0.0
657,3,1.1376227071630582,0.0
669,2,1.2095208466396803,0.0
690,2,1.2586554544021256,0.0
694,2,1.3094245657242214,0.0
737,2,1.368870219484211,0.0
753,1,1.4209315768644513,0.0
825,1,1.4584600997387844,0.0
869,2,1.4945876131262024,0.0
882,2,1.5319821041890473,0.0
905,1,1.5846756071451795,0.0
930,1,1.6326753311376039,0.0
959,2,1.690525444495487,0.0
991,2,1.7367985020414884,0.0
1004,1,1.7773451961764855,0.0
1044,2,1.8293600306568358,0.0
1064,2,1.8603688751112994,0.0
1141,1,1.9134144317086252,0.0
1210,1,1.9538413169851916,0.0
1219,1,2.025891456699242,0.0
1350,1,2.0743068864430207,0.0
1365,2,2.132574838055795,0.0
1389,2,2.1733560228378535,0.0
1408,2,2.217697869850422,0.0
1541,2,2.257926343544898,0.0
1582,1,2.2980349685084662,0.0
1591,1,2.33382218371381,0.0
1627,1,2.372744597979348,0.0
1631,1,2.431046463963725,0.0
1656,1,2.482486850580534,0.0
1679,2,2.544004403485331,0.0
1703,2,2.5766444970526168,0.0
1729,1,2.6247004843338173,0.0
1792,2,2.6795843439984623,0.0
1827,2,2.755209795931802,0.0
1846,2,2.808843055717237,0.0
1864,2,2.8656974637878774,0.0
1885,3,2.8983418822031077,0.0
1902,1,2.94388423578853,0.0
1904,1,3.00253763056215,0.0
1978,2,3.041333708120173,0.0
2007,1,3.0863598582404292,0.0
2014,1,3.144122703169564,0.0
2018,1,3.175387461975495,0.0
2021,2,3.22213924554457,0.0
2160,2,3.261037514518541,0.0
2171,1,3.3042852315527766,0.0
2177,2,3.353650905387223,0.0
2192,2,3.378791271149421,0.0
2210,1,3.4098162109210337,0.0
2241,1,3.457108147034888,0.0
2244,1,3.4907931370503844,0.0
2318,2,3.5260379820924808,0.0
2361,1,3.5758614886573232,0.0
2412,2,3.6195834018178568,0.0
2464,2,3.656309850835394,0.0
2491,2,3.692705218833607,0.0
2501,1,3.737931340914185,0.0
