
=== Check: per-duration M_AD (NPV_ΔC_AD/NPV_ΔY_noAD) ===
  t      TM ΔY    TM ΔC_AD     TM M         MC ΔY    MC ΔC_AD     MC M         Δ M
  0    10141.9     10244.4   1.0101       10134.7     11492.8   1.1340     +0.1239
  1    10141.9     10591.5   1.0443       10134.7     11952.7   1.1794     +0.1350
  2    10141.9     10836.9   1.0685       10134.7     12245.5   1.2083     +0.1397
  3    10141.9     11019.3   1.0865       10134.7     12465.7   1.2300     +0.1435
  4    10141.9     11160.8   1.1005       10134.7     12632.5   1.2465     +0.1460
  5    10141.9     11274.0   1.1116       10134.7     12766.4   1.2597     +0.1480
  6    10141.9     11366.6   1.1208       10134.7     12875.6   1.2704     +0.1497
  7    10141.9     11443.9   1.1284       10134.7     12967.9   1.2796     +0.1512
  8    10141.9     11509.4   1.1348       10134.7     13047.7   1.2874     +0.1526
  9    10141.9     11565.5   1.1404       10134.7     13114.4   1.2940     +0.1536
 10    10141.9     11614.3   1.1452       10134.7     13173.2   1.2998     +0.1546
 11    10141.9     11657.1   1.1494       10134.7     13223.6   1.3048     +0.1554
 12    10141.9     11694.8   1.1531       10134.7     13268.2   1.3092     +0.1561
 13    10141.9     11728.5   1.1564       10134.7     13308.6   1.3132     +0.1567
 14    10141.9     11758.6   1.1594       10134.7     13345.1   1.3168     +0.1574
 15    10141.9     11785.7   1.1621       10134.7     13378.0   1.3200     +0.1579
 16    10141.9     11810.3   1.1645       10134.7     13407.7   1.3229     +0.1584
 17    10141.9     11832.6   1.1667       10134.7     13434.7   1.3256     +0.1589
 18    10141.9     11853.0   1.1687       10134.7     13459.0   1.3280     +0.1593
 19    10141.9     11871.7   1.1706       10134.7     13481.4   1.3302     +0.1597
 20    10141.9     11888.9   1.1723       10134.7     13502.4   1.3323     +0.1600

=== UI: per-duration M_AD (NPV_ΔC_AD/NPV_ΔY_noAD) ===
  t      TM ΔY    TM ΔC_AD     TM M         MC ΔY    MC ΔC_AD     MC M         Δ M
  0     1417.9      1525.7   1.0760        1275.8      1621.6   1.2710     +0.1950
  1     2733.3      3024.2   1.1064        2523.1      2977.1   1.1799     +0.0735
  2     3944.7      4434.2   1.1241        3743.3      4332.2   1.1573     +0.0332
  3     4739.3      5419.7   1.1436        4502.4      5291.8   1.1753     +0.0318
  4     4739.3      5533.8   1.1676        4502.4      5396.5   1.1986     +0.0309
  5     4739.3      5599.1   1.1814        4502.4      5455.0   1.2116     +0.0301
  6     4739.3      5643.0   1.1907        4502.4      5500.3   1.2216     +0.0309
  7     4739.3      5675.2   1.1975        4502.4      5534.0   1.2291     +0.0316
  8     4739.3      5700.1   1.2027        4502.4      5560.1   1.2349     +0.0322
  9     4739.3      5720.3   1.2070        4502.4      5579.7   1.2393     +0.0323
 10     4739.3      5737.2   1.2106        4502.4      5596.9   1.2431     +0.0325
 11     4739.3      5751.7   1.2136        4502.4      5611.5   1.2463     +0.0327
 12     4739.3      5764.3   1.2163        4502.4      5624.7   1.2492     +0.0330
 13     4739.3      5775.4   1.2186        4502.4      5636.5   1.2519     +0.0332
 14     4739.3      5785.4   1.2207        4502.4      5647.3   1.2543     +0.0336
 15     4739.3      5794.3   1.2226        4502.4      5657.3   1.2565     +0.0339
 16     4739.3      5802.3   1.2243        4502.4      5666.7   1.2586     +0.0343
 17     4739.3      5809.6   1.2259        4502.4      5674.5   1.2603     +0.0345
 18     4739.3      5816.4   1.2273        4502.4      5681.5   1.2619     +0.0346
 19     4739.3      5822.5   1.2286        4502.4      5688.4   1.2634     +0.0348
 20     4739.3      5828.3   1.2298        4502.4      5695.0   1.2649     +0.0351

=== TaxCut: per-duration M_AD (NPV_ΔC_AD/NPV_ΔY_noAD) ===
  t      TM ΔY    TM ΔC_AD     TM M         MC ΔY    MC ΔC_AD     MC M         Δ M
  0    29091.3     26223.2   0.9014       29670.8     27018.8   0.9106     +0.0092
  1    28945.4     26794.0   0.9257       29530.8     27690.4   0.9377     +0.0120
  2    28801.0     27381.5   0.9507       29373.3     28336.9   0.9647     +0.0140
  3    28658.3     27976.3   0.9762       29251.0     29009.4   0.9917     +0.0155
  4    28518.1     28569.8   1.0018       29133.6     29658.1   1.0180     +0.0162
  5    28382.2     29153.7   1.0272       28992.2     30267.9   1.0440     +0.0168
  6    28256.6     29720.5   1.0518       28861.1     30835.8   1.0684     +0.0166
  7    28161.0     30274.5   1.0751       28740.7     31369.4   1.0915     +0.0164
  8    28161.0     30604.6   1.0868       28740.7     31720.0   1.1037     +0.0169
  9    28161.0     30876.0   1.0964       28740.7     31996.1   1.1133     +0.0169
 10    28161.0     31103.8   1.1045       28740.7     32232.0   1.1215     +0.0170
 11    28161.0     31298.1   1.1114       28740.7     32428.7   1.1283     +0.0169
 12    28161.0     31465.9   1.1174       28740.7     32598.4   1.1342     +0.0169
 13    28161.0     31612.2   1.1226       28740.7     32746.6   1.1394     +0.0168
 14    28161.0     31741.1   1.1271       28740.7     32880.1   1.1440     +0.0169
 15    28161.0     31855.5   1.1312       28740.7     33000.1   1.1482     +0.0170
 16    28161.0     31957.6   1.1348       28740.7     33107.1   1.1519     +0.0171
 17    28161.0     32049.4   1.1381       28740.7     33203.0   1.1553     +0.0172
 18    28161.0     32132.3   1.1410       28740.7     33289.1   1.1583     +0.0172
 19    28161.0     32207.6   1.1437       28740.7     33368.5   1.1610     +0.0173
 20    28161.0     32276.2   1.1461       28740.7     33441.0   1.1635     +0.0174
